playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
abadfe01,2011,1,HOU,NL,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abreubo01,2011,1,LAA,AL,142,502,54,127,30,1,8,60,21,5,78,113,5,1,1,3,8
abreuju01,2011,1,HOU,NL,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accarje01,2011,1,BAL,AL,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aceveal01,2011,1,BOS,AL,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ackledu01,2011,1,SEA,AL,90,333,39,91,16,7,6,36,6,0,40,79,1,0,0,3,3
acostma01,2011,1,NYN,NL,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adamsmi03,2011,1,SDN,NL,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adamsmi03,2011,2,TEX,AL,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adamsry01,2011,1,BAL,AL,29,89,9,25,4,0,0,7,0,0,6,25,0,1,0,0,7
adcocna01,2011,1,KCA,AL,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
affelje01,2011,1,SFN,NL,67,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
alberma01,2011,1,BOS,AL,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
albural01,2011,1,DET,AL,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alfonel01,2011,1,COL,NL,25,75,2,20,1,0,1,9,0,0,3,13,0,1,0,0,1
allenbr01,2011,1,ARI,NL,11,29,5,5,0,0,3,7,1,0,7,13,2,1,0,0,0
allenbr01,2011,2,OAK,AL,41,146,18,30,9,2,3,11,2,0,11,55,1,0,0,1,0
almoner01,2011,1,MIL,NL,16,29,1,3,0,0,1,3,0,0,0,4,0,0,0,0,2
alonsyo01,2011,1,CIN,NL,47,88,9,29,4,0,5,15,0,0,10,21,0,0,0,0,2
altuvjo01,2011,1,HOU,NL,57,221,26,61,10,1,2,12,7,3,5,29,0,2,5,1,5
alvarhe01,2011,1,TOR,AL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alvarpe01,2011,1,PIT,NL,74,235,18,45,9,1,4,19,1,0,24,80,1,2,1,0,11
amarial01,2011,1,LAA,AL,23,52,2,8,3,1,0,5,0,0,2,8,0,0,1,1,1
amezaal01,2011,1,COL,NL,20,33,5,8,1,0,0,2,0,0,3,7,0,0,1,1,0
amezaal01,2011,2,FLO,NL,20,44,1,6,0,0,0,2,0,0,4,7,0,0,1,0,1
anderbr04,2011,1,OAK,AL,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anderla03,2011,1,BOS,AL,6,5,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0
andinro01,2011,1,BAL,AL,139,457,63,120,22,0,5,36,13,3,41,83,0,3,9,1,14
andruel01,2011,1,TEX,AL,150,587,96,164,27,3,5,60,37,12,56,74,0,5,16,1,17
anglema01,2011,1,BAL,AL,31,79,12,14,4,0,1,7,11,1,12,13,0,1,3,0,0
ankieri01,2011,1,WAS,NL,122,380,46,91,20,0,9,37,10,3,29,96,1,2,3,1,7
arencjp01,2011,1,TOR,AL,129,443,47,97,20,4,23,78,1,1,36,133,3,4,0,3,6
arredjo01,2011,1,CIN,NL,53,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
arrieja01,2011,1,BAL,AL,22,4,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
arroybr01,2011,1,CIN,NL,36,57,1,6,2,0,0,2,0,0,1,27,0,0,8,0,0
ascanjo01,2011,1,PIT,NL,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atchisc01,2011,1,BOS,AL,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atkinmi01,2011,1,BAL,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augenbr01,2011,1,SLN,NL,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
avilaal01,2011,1,DET,AL,141,464,63,137,33,4,19,82,3,1,73,131,9,3,3,8,8
avilemi01,2011,1,KCA,AL,53,185,14,41,11,3,5,31,10,2,9,27,0,2,3,3,5
avilemi01,2011,2,BOS,AL,38,101,17,32,6,0,2,8,4,2,4,17,0,0,1,1,3
axelrdy01,2011,1,CHA,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
axforjo01,2011,1,MIL,NL,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ayalalu01,2011,1,NYA,AL,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aybarer01,2011,1,LAA,AL,143,556,71,155,33,8,10,59,30,6,31,68,1,6,9,3,13
badenbu01,2011,1,FLO,NL,50,7,1,2,1,0,0,1,0,0,1,5,0,0,0,0,0
baezda01,2011,1,PHI,NL,29,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
