Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/adamsba01.shtml"">Babe Adams</a>",SLN,24,4,0,1,0,9,8,6,0,2,0,13.500,3.569,2.750,.00,-.35
"<a href=""https://www.baseball-reference.com/players/a/altroni01.shtml"">Nick Altrock</a>",CHA,29,287&‌#8532;,20,13,0,269,95,66,0,42,99,2.065,2.086,1.081,2.36,2.83
"<a href=""https://www.baseball-reference.com/players/a/amesre01.shtml"">Red Ames</a>",NY1,23,203&‌#8531;,12,10,1,166,79,60,1,93,156,2.656,2.225,1.274,1.68,.00
"<a href=""https://www.baseball-reference.com/players/b/bargecy01.shtml"">Cy Barger</a>",NYA,21,5&‌#8531;,0,0,1,7,8,6,0,3,3,10.125,2.867,1.875,1.00,-.45
"<a href=""https://www.baseball-reference.com/players/b/barryed01.shtml"">Ed Barry</a>",BOS,23,21,0,3,0,23,22,14,2,5,10,6.000,2.919,1.333,2.00,-.74
"<a href=""https://www.baseball-reference.com/players/b/bartlbi01.shtml"">Bill Bartley</a>",PHA,21,8&‌#8532;,0,0,1,10,9,9,0,6,6,9.346,3.008,1.846,1.00,-.51
"<a href=""https://www.baseball-reference.com/players/b/beebefr01.shtml"">Fred Beebe</a>",2,26,230&‌#8532;,15,10,1,171,92,75,2,100,171,2.926,2.110,1.175,1.71,1.28
"<a href=""https://www.baseball-reference.com/players/b/bendech01.shtml"">Chief Bender</a>",PHA,22,238&‌#8531;,15,10,3,208,98,67,5,48,159,2.530,1.811,1.074,3.31,2.68
"<a href=""https://www.baseball-reference.com/players/b/bernhbi01.shtml"">Bill Bernhard</a>",CLE,35,255&‌#8531;,16,15,0,235,99,72,1,47,85,2.538,2.244,1.104,1.81,1.24
"<a href=""https://www.baseball-reference.com/players/b/bradyki01.shtml"">King Brady</a>",PIT,25,23,1,1,0,30,7,6,0,4,14,2.348,1.755,1.478,3.50,.34
"<a href=""https://www.baseball-reference.com/players/b/brownbu01.shtml"">Buster Brown</a>",SLN,24,238&‌#8531;,8,16,0,208,98,70,2,112,109,2.643,2.827,1.343,.97,.00
"<a href=""https://www.baseball-reference.com/players/b/brownmo01.shtml"">Mordecai Brown</a>",CHN,29,277&‌#8531;,26,6,3,198,56,32,1,61,144,1.038,1.976,.934,2.36,.00
"<a href=""https://www.baseball-reference.com/players/c/camerja01.shtml"">Jack Cameron</a>",BSN,21,6,0,0,0,4,0,0,0,6,2,.000,5.096,1.667,.33,.42
"<a href=""https://www.baseball-reference.com/players/c/camniho01.shtml"">Howie Camnitz</a>",PIT,24,9,1,0,0,6,2,2,0,5,5,2.000,2.937,1.222,1.00,.00
"<a href=""https://www.baseball-reference.com/players/c/casech01.shtml"">Charlie Case</a>",PIT,26,11,1,1,0,8,9,7,0,5,3,5.727,2.900,1.182,.60,-.36
"<a href=""https://www.baseball-reference.com/players/c/chechch01.shtml"">Charlie Chech</a>",CIN,28,66,1,4,3,59,32,17,1,24,17,2.318,2.876,1.258,.71,.36
"<a href=""https://www.baseball-reference.com/players/c/chesbja01.shtml"">Jack Chesbro</a>",NYA,32,325,23,17,1,314,138,107,2,75,152,2.963,2.115,1.197,2.03,.00
"<a href=""https://www.baseball-reference.com/players/c/clarkwa01.shtml"">Walter Clarkson</a>",NYA,27,151,9,4,0,135,59,39,6,55,64,2.325,3.037,1.258,1.16,.00
"<a href=""https://www.baseball-reference.com/players/c/coaklan01.shtml"">Andy Coakley</a>",PHA,23,149,7,8,0,144,78,52,0,44,59,3.141,2.399,1.262,1.34,.00
"<a href=""https://www.baseball-reference.com/players/c/coombja01.shtml"">Jack Coombs</a>",PHA,23,173,10,10,0,144,65,48,0,68,90,2.497,2.384,1.225,1.32,2.48
"<a href=""https://www.baseball-reference.com/players/c/cunnimi01.shtml"">Mike Cunningham</a>",PHA,24,28,1,0,0,29,15,10,1,9,15,3.214,2.608,1.357,1.67,-.10
"<a href=""https://www.baseball-reference.com/players/d/dinnebi01.shtml"">Bill Dinneen</a>",BOS,30,218&‌#8532;,8,19,0,209,101,71,4,52,60,2.922,2.755,1.194,1.15,1.71
"<a href=""https://www.baseball-reference.com/players/d/dolanco01.shtml"">Cozy Dolan</a>",BSN,33,12,0,1,0,12,6,6,1,6,7,4.500,3.950,1.500,1.17,-.01
"<a href=""https://www.baseball-reference.com/players/d/donahre01.shtml"">Red Donahue</a>",DET,33,241,13,14,0,260,96,73,1,54,82,2.726,2.314,1.303,1.52,4.37
"<a href=""https://www.baseball-reference.com/players/d/donovbi01.shtml"">Bill Donovan</a>",DET,29,211&‌#8532;,9,15,0,221,92,74,4,72,85,3.146,2.705,1.384,1.18,2.85
"<a href=""https://www.baseball-reference.com/players/d/dornegu01.shtml"">Gus Dorner</a>",2,29,288&‌#8531;,8,26,0,280,157,113,5,107,109,3.527,2.773,1.342,1.02,.45
"<a href=""https://www.baseball-reference.com/players/d/doschja01.shtml"">Jack Doscher</a>",BRO,25,14,0,1,0,12,3,2,0,4,10,1.286,1.765,1.143,2.50,.39
"<a href=""https://www.baseball-reference.com/players/d/doylesl01.shtml"">Slow Joe Doyle</a>",NYA,24,45&‌#8531;,2,1,0,34,15,12,1,13,28,2.382,2.207,1.037,2.15,.00
"<a href=""https://www.baseball-reference.com/players/d/druhoca01.shtml"">Carl Druhot</a>",2,24,155&‌#8531;,8,9,0,144,72,50,1,53,59,2.897,2.574,1.268,1.11,.83
"<a href=""https://www.baseball-reference.com/players/d/dugglbi01.shtml"">Bill Duggleby</a>",PHI,32,280&‌#8531;,13,19,2,241,93,70,5,66,83,2.247,2.582,1.095,1.26,5.49
"<a href=""https://www.baseball-reference.com/players/d/dygerji01.shtml"">Jimmy Dygert</a>",PHA,21,213&‌#8532;,11,13,0,175,88,64,1,91,106,2.696,2.575,1.245,1.16,2.57
"<a href=""https://www.baseball-reference.com/players/e/easonma01.shtml"">Mal Eason</a>",BRO,27,227,10,17,1,212,109,82,1,74,64,3.251,2.727,1.260,.86,-.01
"<a href=""https://www.baseball-reference.com/players/e/edmonbo01.shtml"">Bob Edmondson</a>",WS1,27,10,0,1,0,10,8,5,0,2,0,4.500,2.968,1.200,.00,-.26
"<a href=""https://www.baseball-reference.com/players/e/eellsha01.shtml"">Harry Eells</a>",CLE,26,86&‌#8531;,4,5,0,77,39,25,1,48,35,2.606,3.276,1.448,.73,-.16
"<a href=""https://www.baseball-reference.com/players/e/eganwi01.shtml"">Wish Egan</a>",SLN,25,86&‌#8531;,2,9,0,97,45,44,2,27,23,4.587,2.959,1.436,.85,-.17
"<a href=""https://www.baseball-reference.com/players/e/essicbi01.shtml"">Bill Essick</a>",CIN,25,39&‌#8531;,2,2,0,39,18,13,1,16,16,2.975,2.965,1.398,1.00,.06
"<a href=""https://www.baseball-reference.com/players/e/eubanjo01.shtml"">John Eubank</a>",DET,33,135,4,10,2,147,69,53,0,35,38,3.533,2.402,1.348,1.09,.44
"<a href=""https://www.baseball-reference.com/players/e/ewingbo01.shtml"">Bob Ewing</a>",CIN,33,287&‌#8532;,13,14,0,248,98,76,4,60,145,2.378,2.140,1.071,2.42,5.12
"<a href=""https://www.baseball-reference.com/players/f/falkecy01.shtml"">Cy Falkenberg</a>",WS1,26,298&‌#8532;,14,20,1,277,136,95,1,108,178,2.863,2.175,1.289,1.65,.00
