Name,Tm,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/allenjo02.shtml"">Johnny Allen</a>",NYA,30,501,13,6,0,149,76,67,11,58,113,3.611,3.546,1.240,1.95,0.00
"<a href=""https://www.baseball-reference.com/players/a/andreiv01.shtml"">Ivy Andrews</a>",SLA,28,640,13,7,1,231,95,84,10,53,43,3.544,4.003,1.331,0.81,6.39
"<a href=""https://www.baseball-reference.com/players/a/aukerel01.shtml"">Elden Auker</a>",DET,24,585,18,7,0,213,86,83,13,61,63,3.831,4.099,1.405,1.03,2.55
"<a href=""https://www.baseball-reference.com/players/b/babicjo01.shtml"">J. Babich</a>",BRO,22,430,7,14,0,191,124,106,7,52,55,6.656,3.910,1.695,1.06,-3.51
"<a href=""https://www.baseball-reference.com/players/b/bakerto01.shtml"">Tom Baker</a>",BRO,22,126,1,0,0,48,25,20,2,20,10,4.286,4.594,1.619,0.50,0.03
"<a href=""https://www.baseball-reference.com/players/b/barrbo02.shtml"">Bob Barr</a>",BRO,27,7,0,0,0,5,3,1,0,2,0,3.857,4.945,3.000,0.00,-0.08
"<a href=""https://www.baseball-reference.com/players/b/beanbe01.shtml"">Belve Bean</a>",2,30,96,2,0,0,45,29,26,6,19,6,7.312,6.894,2.000,0.32,-0.49
"<a href=""https://www.baseball-reference.com/players/b/bengera01.shtml"">Ray Benge</a>",BRO,33,374,9,9,1,142,77,62,12,47,39,4.476,4.831,1.516,0.83,-0.41
"<a href=""https://www.baseball-reference.com/players/b/bentoal01.shtml"">Al Benton</a>",PHA,24,235,3,4,0,110,81,67,7,47,42,7.698,4.760,2.004,0.89,-1.93
"<a href=""https://www.baseball-reference.com/players/b/bentola01.shtml"">Larry Benton</a>",BSN,37,216,2,3,0,103,61,55,6,24,21,6.875,4.444,1.764,0.88,-1.26
"<a href=""https://www.baseball-reference.com/players/b/bettshu01.shtml"">Huck Betts</a>",BSN,38,479,2,9,0,213,118,97,9,40,40,5.468,3.955,1.585,1.00,-1.38
"<a href=""https://www.baseball-reference.com/players/b/birkora01.shtml"">R. Birkofer</a>",PIT,26,451,9,7,1,173,87,68,5,42,80,4.071,3.138,1.430,1.90,0.75
"<a href=""https://www.baseball-reference.com/players/b/bivinji01.shtml"">Jim Bivin</a>",PHI,25,485,2,9,1,220,129,104,20,65,54,5.790,5.020,1.763,0.83,-1.19
"<a href=""https://www.baseball-reference.com/players/b/blaehge01.shtml"">G. Blaeholder</a>",2,31,500,7,11,0,198,93,80,13,55,22,4.320,4.792,1.518,0.40,-0.19
"<a href=""https://www.baseball-reference.com/players/b/blancal01.shtml"">Al Blanche</a>",BSN,25,52,0,0,0,14,3,3,0,5,4,1.558,3.494,1.096,0.80,0.61
"<a href=""https://www.baseball-reference.com/players/b/blantcy01.shtml"">Cy Blanton</a>",PIT,26,763,18,13,1,220,93,73,3,55,142,2.583,2.715,1.081,2.58,7.19
"<a href=""https://www.baseball-reference.com/players/b/bowerst01.shtml"">Stew Bowers</a>",BOS,20,71,2,1,0,26,14,9,1,17,5,3.423,5.316,1.817,0.29,0.28
"<a href=""https://www.baseball-reference.com/players/b/bowmajo01.shtml"">Joe Bowman</a>",PHI,25,445,7,10,1,157,86,70,13,56,58,4.247,4.482,1.436,1.04,2.17
"<a href=""https://www.baseball-reference.com/players/b/branded01.shtml"">Ed Brandt</a>",BSN,30,524,5,19,0,224,110,97,12,66,61,4.998,4.329,1.660,0.92,-0.16
"<a href=""https://www.baseball-reference.com/players/b/brenndo01.shtml"">Don Brennan</a>",CIN,31,343,5,5,5,101,43,40,4,44,48,3.149,3.759,1.268,1.09,2.96
"<a href=""https://www.baseball-reference.com/players/b/bridgto01.shtml"">T. Bridges</a>",DET,28,823,21,10,1,277,129,107,22,113,163,3.510,4.119,1.422,1.44,3.05
"<a href=""https://www.baseball-reference.com/players/b/broacjo01.shtml"">J. Broaca</a>",NYA,25,603,15,7,0,199,96,80,16,79,78,3.582,4.523,1.383,0.99,2.05
"<a href=""https://www.baseball-reference.com/players/b/brownbo02.shtml"">Bob Brown</a>",BSN,24,195,1,8,0,79,55,46,2,36,17,6.369,4.560,1.769,0.47,-1.17
"<a href=""https://www.baseball-reference.com/players/b/browncl01.shtml"">Clint Brown</a>",CLE,31,147,4,3,2,61,34,28,3,14,20,5.143,3.782,1.531,1.43,-0.20
"<a href=""https://www.baseball-reference.com/players/b/brownju01.shtml"">Jumbo Brown</a>",NYA,28,262,6,5,0,94,41,35,2,37,41,3.607,3.687,1.500,1.11,0.81
"<a href=""https://www.baseball-reference.com/players/b/brownll01.shtml"">Lloyd Brown</a>",CLE,30,366,8,7,4,123,52,49,6,37,45,3.615,3.813,1.311,1.22,3.43
"<a href=""https://www.baseball-reference.com/players/b/brownma01.shtml"">Mace Brown</a>",PIT,26,218,4,1,0,84,41,29,5,22,28,3.592,4.075,1.459,1.27,0.00
"<a href=""https://www.baseball-reference.com/players/b/bryancl01.shtml"">Clay Bryant</a>",CHN,23,68,1,2,2,34,15,13,1,7,13,5.162,3.378,1.809,1.86,-0.35
"<a href=""https://www.baseball-reference.com/players/b/burkebo01.shtml"">Bobby Burke</a>",WS1,28,199,1,8,0,90,63,55,7,27,16,7.462,5.016,1.764,0.59,-1.34
"<a href=""https://www.baseball-reference.com/players/b/bushgu01.shtml"">Guy Bush</a>",PIT,33,613,11,11,2,237,115,98,16,40,42,4.316,4.168,1.356,1.05,0.00
"<a href=""https://www.baseball-reference.com/players/c/cainsu01.shtml"">Sugar Cain</a>",2,28,581,9,13,0,236,134,117,8,123,73,5.437,4.641,1.854,0.59,0.00
"<a href=""https://www.baseball-reference.com/players/c/caldwea01.shtml"">E. Caldwell</a>",SLA,30,110,3,2,0,34,16,15,2,17,5,3.682,5.018,1.391,0.29,0.00
"<a href=""https://www.baseball-reference.com/players/c/cantwbe01.shtml"">Ben Cantwell</a>",BSN,33,632,4,25,0,235,117,108,15,44,34,4.614,4.275,1.324,0.77,0.00
"<a href=""https://www.baseball-reference.com/players/c/carlete01.shtml"">Tex Carleton</a>",CHN,28,513,11,8,1,169,82,74,17,60,84,3.895,4.393,1.339,1.40,0.76
"<a href=""https://www.baseball-reference.com/players/c/cascajo01.shtml"">J. Cascarella</a>",2,28,148,1,9,0,54,38,32,4,33,24,5.838,5.115,1.764,0.73,0.00
