playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
aldrivi01,1927,1,PIT,NL,15,10,35,34,17,1,1,718,248,113,16,74,86,0.27,4.25,,0,5,0,1028,1,123,,,
alexape01,1927,1,SLN,NL,21,10,37,30,22,2,3,804,261,75,11,38,48,0.25,2.52,,1,1,0,1082,4,94,,,
applepe01,1927,1,CIN,NL,2,1,6,2,2,1,0,89,29,6,0,17,3,0.26,1.82,,1,0,1,128,3,7,,,
baeched01,1927,1,PHI,NL,0,1,1,1,0,0,0,18,12,8,0,2,0,0.42,12,,0,0,0,31,0,8,,,
bakerne01,1927,1,PHA,AL,0,0,5,2,0,0,0,52,27,11,2,7,3,0.36,5.71,,0,0,0,84,0,17,,,
ballowi01,1927,1,SLA,AL,5,6,21,11,4,0,0,271,105,48,4,46,17,0.3,4.78,,1,1,0,396,3,56,,,
barnach01,1927,1,CHA,AL,0,5,17,4,1,0,0,183,86,36,2,20,5,0.35,5.31,,2,5,0,284,11,46,,,
barneje01,1927,1,BRO,NL,2,10,18,10,2,0,0,236,106,50,5,25,14,0.33,5.72,,2,0,0,360,5,64,,,
barnevi01,1927,1,NY1,NL,14,11,35,29,12,2,2,686,251,101,14,51,66,0.28,3.98,,2,4,0,963,3,116,,,
beallwa01,1927,1,NYA,AL,0,0,1,0,0,0,0,3,1,1,0,0,0,0.33,9,,0,0,0,4,1,1,,,
beckbo01,1927,1,SLA,AL,1,0,3,1,1,0,0,34,15,7,0,5,6,0.33,5.56,,0,1,0,53,0,8,,,
beckmji01,1927,1,CIN,NL,0,1,4,1,0,0,0,37,18,8,2,6,0,0.34,5.84,,0,1,0,62,3,10,,,
bellhi01,1927,1,SLN,NL,1,3,25,1,0,0,0,172,71,25,5,22,31,0.31,3.92,,0,1,0,255,11,37,,,
bennefr01,1927,1,BOS,AL,0,1,4,1,0,0,0,37,15,4,0,6,1,0.33,2.92,,0,0,0,52,0,4,,,
bentlja01,1927,1,NY1,NL,0,0,4,0,0,0,0,29,7,3,1,10,3,0.2,2.79,,0,1,0,47,2,7,,,
bentola01,1927,1,BSN,NL,4,2,11,10,3,0,0,181,72,30,3,27,25,0.31,4.48,,2,2,0,269,1,33,,,
bentola01,1927,2,NY1,NL,13,5,29,23,8,1,2,519,183,76,9,54,65,0.27,3.95,,0,2,0,736,5,83,,,
billijo02,1927,1,DET,AL,5,4,10,9,5,0,0,201,64,36,3,39,18,0.25,4.84,,2,6,0,302,1,36,,,
blaehge01,1927,1,SLA,AL,0,1,1,1,1,0,0,27,8,5,1,4,2,0.25,5,,0,1,0,37,0,5,,,
blakesh01,1927,1,CHN,NL,13,14,32,27,13,2,0,673,238,82,3,82,64,0.28,3.29,,4,4,0,963,2,101,,,
