Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/allenjo02.shtml"">Johnny Allen</a>",CLE,31,243,20,10,1,234,108,93,5,97,165,3.444,3.360,1.362,1.70,0.00
"<a href=""https://www.baseball-reference.com/players/a/andreiv01.shtml"">Ivy Andrews</a>",SLA,29,191&frac13;,7,12,1,221,109,103,19,50,33,4.845,5.014,1.416,0.66,4.60
"<a href=""https://www.baseball-reference.com/players/a/applepe01.shtml"">P. Appleton</a>",WS1,32,201&frac23;,14,9,3,199,94,79,7,77,77,3.526,4.072,1.369,1.00,3.76
"<a href=""https://www.baseball-reference.com/players/a/archefr01.shtml"">Fred Archer</a>",PHA,26,36&frac23;,2,3,0,41,28,26,3,15,9,6.382,4.867,1.527,0.60,0.00
"<a href=""https://www.baseball-reference.com/players/a/aukerel01.shtml"">Elden Auker</a>",DET,25,215&frac13;,13,16,0,263,140,117,11,83,66,4.890,4.415,1.607,0.80,0.67
"<a href=""https://www.baseball-reference.com/players/b/babicjo01.shtml"">J. Babich</a>",BSN,23,6,0,0,0,11,8,7,1,6,1,10.500,7.482,2.833,0.17,-0.20
"<a href=""https://www.baseball-reference.com/players/b/bakerto01.shtml"">Tom Baker</a>",BRO,23,87&frac23;,1,8,2,98,56,46,3,48,35,4.722,4.484,1.665,0.73,0.26
"<a href=""https://www.baseball-reference.com/players/b/bauerru01.shtml"">Russ Bauers</a>",PIT,22,1&frac13;,0,0,0,2,5,5,0,4,0,33.750,10.320,4.500,0.00,-0.28
"<a href=""https://www.baseball-reference.com/players/b/bengera01.shtml"">Ray Benge</a>",2,34,160&frac23;,8,13,1,231,114,98,9,57,45,5.490,4.414,1.793,0.79,-1.21
"<a href=""https://www.baseball-reference.com/players/b/bertrle01.shtml"">L. Bertrand</a>",PHI,27,2,0,0,0,3,2,2,1,2,1,9.000,11.622,2.500,0.50,-0.02
"<a href=""https://www.baseball-reference.com/players/b/birkora01.shtml"">R. Birkofer</a>",PIT,27,109&frac13;,7,5,0,130,73,57,4,41,44,4.692,3.906,1.564,1.07,-0.40
"<a href=""https://www.baseball-reference.com/players/b/blaehge01.shtml"">G. Blaeholder</a>",CLE,32,134&frac13;,8,4,0,158,83,76,21,47,30,5.092,5.917,1.526,0.64,1.87
"<a href=""https://www.baseball-reference.com/players/b/blancal01.shtml"">Al Blanche</a>",BSN,26,16,0,1,1,20,15,11,1,8,4,6.188,4.827,1.750,0.50,-0.52
"<a href=""https://www.baseball-reference.com/players/b/blantcy01.shtml"">Cy Blanton</a>",PIT,27,235&frac23;,13,15,3,235,114,92,9,55,127,3.513,3.344,1.231,2.31,3.01
"<a href=""https://www.baseball-reference.com/players/b/bokinjo01.shtml"">Joe Bokina</a>",WS1,26,8&frac13;,0,2,0,15,8,8,0,6,5,8.640,4.090,2.520,0.83,-0.13
"<a href=""https://www.baseball-reference.com/players/b/bowerst01.shtml"">Stew Bowers</a>",BOS,21,5&frac23;,0,0,0,10,7,6,1,2,0,9.529,6.272,2.118,0.00,-0.13
"<a href=""https://www.baseball-reference.com/players/b/bowmajo01.shtml"">Joe Bowman</a>",PHI,26,203&frac23;,9,20,1,243,140,114,14,53,80,5.038,4.027,1.453,1.51,0.68
