Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/abbotji01.shtml"">Jim Abbott</a>",CHA,30,31&‌#8532;,5,0,0,35,16,16,2,12,14,4.547,4.155,1.484,1.17,.53
"<a href=""https://www.baseball-reference.com/players/a/abbotpa01.shtml"">Paul Abbott</a>",SEA,30,24&‌#8532;,3,1,0,24,11,11,2,10,22,4.014,3.623,1.378,2.20,.00
"<a href=""https://www.baseball-reference.com/players/a/aceveju01.shtml"">Juan Acevedo</a>",SLN,28,98&‌#8531;,8,3,15,83,30,28,7,29,56,2.563,3.726,1.139,1.93,2.99
"<a href=""https://www.baseball-reference.com/players/a/adamsjo02.shtml"">Joel Adamson</a>",ARI,26,23,0,3,0,25,21,21,5,11,14,8.217,5.894,1.565,1.27,-.60
"<a href=""https://www.baseball-reference.com/players/a/adamste01.shtml"">Terry Adams</a>",CHN,25,72&‌#8532;,7,7,1,72,39,35,7,41,73,4.335,4.000,1.555,1.78,.00
"<a href=""https://www.baseball-reference.com/players/a/aguilri01.shtml"">Rick Aguilera</a>",MIN,36,74&‌#8531;,4,9,38,75,35,35,8,15,57,4.238,3.568,1.211,3.80,.00
"<a href=""https://www.baseball-reference.com/players/a/aldresc01.shtml"">Scott Aldred</a>",TBA,30,31&‌#8531;,0,0,0,33,13,13,1,12,21,3.734,3.171,1.436,1.75,.00
"<a href=""https://www.baseball-reference.com/players/a/alfonan01.shtml"">Antonio Alfonseca</a>",FLO,26,70&‌#8532;,4,6,8,75,36,32,10,33,46,4.075,4.956,1.528,1.39,.05
"<a href=""https://www.baseball-reference.com/players/a/almanca01.shtml"">Carlos Almanzar</a>",TOR,24,28&‌#8532;,2,2,0,34,18,17,4,8,20,5.337,4.228,1.465,2.50,-.04
"<a href=""https://www.baseball-reference.com/players/a/alvarwi01.shtml"">Wilson Alvarez</a>",TBA,28,142&‌#8532;,6,14,0,130,78,75,18,68,107,4.731,4.551,1.388,1.57,1.25
"<a href=""https://www.baseball-reference.com/players/a/anderbr02.shtml"">Brian Anderson</a>",ARI,26,208,12,13,0,221,109,100,39,24,95,4.327,5.026,1.178,3.96,1.46
"<a href=""https://www.baseball-reference.com/players/a/anderma01.shtml"">Matt Anderson</a>",DET,21,44,5,1,0,38,16,16,3,31,44,3.273,4.028,1.568,1.42,1.12
"<a href=""https://www.baseball-reference.com/players/a/andujlu01.shtml"">Luis Andujar</a>",TOR,25,5&‌#8532;,0,0,0,12,6,6,0,2,1,9.529,3.712,2.471,.50,-.15
