Name,Tm,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/adkingr01.shtml"">Grady Adkins</a>",CHA,31,674,10,16,1,235,113,93,12,89,54,3.726,4.252,1.442,0.61,3.07
"<a href=""https://www.baseball-reference.com/players/a/aldrivi01.shtml"">Vic Aldridge</a>",NY1,34,358,4,7,2,133,68,64,7,45,33,4.827,4.189,1.492,0.73,-0.17
"<a href=""https://www.baseball-reference.com/players/a/alexape01.shtml"">P. Alexander</a>",SLN,41,731,16,9,2,262,106,91,15,37,59,3.361,3.663,1.227,1.59,3.42
"<a href=""https://www.baseball-reference.com/players/a/applepe01.shtml"">P. Appleton</a>",CIN,24,248,3,4,0,101,50,43,7,22,20,4.681,4.246,1.488,0.91,0.00
"<a href=""https://www.baseball-reference.com/players/a/ashke01.shtml"">Ken Ash</a>",CIN,26,108,3,3,0,43,26,26,1,13,6,6.500,3.964,1.556,0.46,-0.43
"<a href=""https://www.baseball-reference.com/players/b/baeched01.shtml"">Ed Baecht</a>",PHI,21,72,1,1,0,37,16,16,1,9,10,6.000,3.690,1.917,1.11,0.14
"<a href=""https://www.baseball-reference.com/players/b/barnach01.shtml"">C. Barnabe</a>",CHA,28,29,0,2,0,17,9,7,0,0,3,6.517,2.085,1.759,&infin;,-0.18
"<a href=""https://www.baseball-reference.com/players/b/barnevi01.shtml"">V. Barnes</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotebarnevi01"" style=""display:none;""></input><label for=""footnotebarnevi01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivbarnevi01"">NY1, BSN</div></span>",31,347,5,10,0,157,74,70,6,44,18,5.447,4.359,1.738,0.41,-0.20
"<a href=""https://www.baseball-reference.com/players/b/barnhle01.shtml"">Les Barnhart</a>",CLE,23,27,0,1,0,13,7,7,1,4,1,7.000,5.288,1.889,0.25,-0.14
"<a href=""https://www.baseball-reference.com/players/b/barthle01.shtml"">L. Bartholomew</a>",PIT,25,68,0,0,0,31,18,18,2,9,6,7.147,4.680,1.765,0.67,-0.25
"<a href=""https://www.baseball-reference.com/players/b/baynebi01.shtml"">Bill Bayne</a>",CLE,29,326,2,5,3,128,68,62,3,43,39,5.135,3.444,1.574,0.91,0.43
"<a href=""https://www.baseball-reference.com/players/b/beckbo01.shtml"">B. Beck</a>",SLA,23,147,2,3,0,52,29,24,4,20,17,4.408,4.248,1.469,0.85,0.21
"<a href=""https://www.baseball-reference.com/players/b/beckmji01.shtml"">Jim Beckman</a>",CIN,23,46,0,1,0,19,12,10,1,9,4,5.870,4.811,1.826,0.44,-0.31
"<a href=""https://www.baseball-reference.com/players/b/bengera01.shtml"">Ray Benge</a>",PHI,26,605,8,18,1,219,117,102,15,88,68,4.552,4.450,1.522,0.77,2.15
"<a href=""https://www.baseball-reference.com/players/b/bennefr01.shtml"">F. Bennett</a>",BOS,23,3,0,0,0,1,0,0,0,0,0,.000,2.901,1.000,&infin;,0.04
"<a href=""https://www.baseball-reference.com/players/b/bentola01.shtml"">Larry Benton</a>",NY1,30,931,25,9,4,299,106,94,14,71,90,2.726,3.627,1.192,1.27,0.00
