playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
abernwo01,1947,1,NY1,NL,0,0,1,0,0,0,0,6,4,2,0,1,0,0.4,9,,0,0,0,11,1,3,,,
andrehu01,1947,1,NY1,NL,0,0,7,0,0,0,0,26,14,6,1,4,2,0.36,6.23,,0,0,0,43,4,7,,,
ardizru01,1947,1,NYA,AL,0,0,1,0,0,0,0,6,4,2,1,1,0,0.5,9,,0,0,0,10,1,2,,,
ayersbi01,1947,1,NY1,NL,0,3,13,4,0,0,1,106,46,32,7,14,22,0.32,8.15,,3,1,1,161,2,35,,,
bagbyji02,1947,1,PIT,NL,5,4,37,6,2,0,0,347,143,60,14,37,23,0.3,4.67,,1,5,0,521,18,75,,,
bahred01,1947,1,PIT,NL,3,5,19,11,1,0,0,247,82,42,5,43,25,0.26,4.59,,0,3,0,360,4,45,,,
bankhda01,1947,1,BRO,NL,0,0,4,0,0,0,1,30,15,8,1,8,6,0.34,7.2,,1,1,0,54,1,8,,,
bantaja01,1947,1,BRO,NL,0,1,3,1,0,0,0,23,7,6,1,4,3,0.22,7.04,,1,1,0,38,1,6,,,
barnere02,1947,1,BRO,NL,5,2,28,9,0,0,0,233,66,41,4,59,36,0.24,4.75,,5,2,1,341,8,52,,,
barrere01,1947,1,BSN,NL,11,12,36,30,12,3,1,632,200,83,16,53,53,0.24,3.55,,1,2,0,881,3,102,,,
beardge01,1947,1,CLE,AL,0,0,1,0,0,0,0,1,2,3,0,1,0,0.66,81,,1,0,0,4,0,3,,,
beazljo01,1947,1,BSN,NL,2,0,9,2,2,0,0,86,30,14,1,19,12,0.27,4.4,,3,0,0,133,4,15,,,
beggsjo01,1947,1,CIN,NL,0,3,11,4,0,0,0,97,42,19,4,6,11,0.31,5.29,,0,0,0,140,2,26,,,
beggsjo01,1947,2,NY1,NL,3,3,32,0,0,0,2,198,81,31,6,18,23,0.3,4.23,,1,1,0,296,8,38,,,
behrmha01,1947,1,BRO,NL,0,0,2,0,0,0,0,11,3,4,1,4,2,0,9.82,,0,0,0,12,0,4,,,
behrmha01,1947,2,PIT,NL,0,2,10,2,0,0,0,74,33,25,6,17,11,0.34,9.12,,0,2,0,116,3,26,,,
behrmha01,1947,3,BRO,NL,5,3,38,6,0,0,8,265,94,52,9,44,31,0.27,5.3,,3,0,0,392,16,64,,,
bentoal01,1947,1,DET,AL,6,7,36,14,4,0,7,399,147,65,11,61,33,0.28,4.4,,2,1,0,590,12,77,,,
bevenbi01,1947,1,NYA,AL,7,13,28,23,11,1,0,495,167,70,13,77,77,0.26,3.82,,0,1,1,725,3,79,,,
bithohi01,1947,1,CHA,AL,1,0,2,0,0,0,0,6,2,0,0,0,0,0.28,0,,0,0,0,7,1,0,,,
blackdo01,1947,1,CLE,AL,10,12,30,28,8,3,0,572,177,83,17,85,72,0.24,3.92,,2,1,0,806,1,90,,,
blackew01,1947,1,CIN,NL,22,8,33,33,23,6,0,819,227,75,10,95,193,0.23,2.47,,2,4,1,1086,0,91,,,
bonhati01,1947,1,PIT,NL,11,8,33,18,7,3,3,449,167,64,17,35,63,0.27,3.85,,1,2,0,642,12,67,,,
borowha01,1947,1,CHN,NL,8,12,40,25,7,1,2,549,190,89,19,63,75,0.26,4.38,,1,1,1,784,11,99,,,
brancra01,1947,1,BRO,NL,21,12,43,36,15,4,1,840,251,83,22,98,148,0.24,2.67,,7,6,1,1158,5,100,,,
brazlal01,1947,1,SLN,NL,14,8,44,19,7,0,4,504,186,53,7,48,85,0.28,2.84,,4,2,0,713,11,65,,,
brechha01,1947,1,SLN,NL,16,11,29,28,18,1,1,670,220,82,20,66,89,0.26,3.3,,3,3,0,927,1,92,,,
brisslo01,1947,1,PHA,AL,0,1,1,1,0,0,0,21,9,5,1,5,4,0.31,6.43,,2,0,0,34,0,5,,,
brownwa01,1947,1,SLA,AL,1,0,19,0,0,0,0,138,50,25,3,28,10,0.29,4.89,,1,0,0,202,13,27,,,
budnimi01,1947,1,NY1,NL,0,0,7,1,0,0,0,36,16,14,0,10,6,0.31,10.5,,0,0,0,62,0,16,,,
burkhke01,1947,1,SLN,NL,3,6,34,6,1,0,1,285,108,55,13,23,44,0.29,5.21,,3,4,1,404,9,55,,,
butlabi01,1947,1,BOS,AL,0,0,1,0,0,0,0,6,3,1,0,0,1,0.33,4.5,,0,0,0,9,0,1,,,
byrneto01,1947,1,NYA,AL,0,0,4,1,0,0,0,13,5,2,0,6,2,0.29,4.15,,0,0,0,23,2,2,,,
caldwea01,1947,1,CHA,AL,1,4,40,0,0,0,8,163,53,22,4,30,22,0.26,3.64,,0,1,0,239,30,23,,,
candimi01,1947,1,WS1,AL,3,4,38,2,0,0,1,261,96,50,5,35,31,0.27,5.17,,1,0,1,394,21,53,,,
carpebo01,1947,1,NY1,NL,0,0,2,0,0,0,0,9,5,4,0,3,0,0.38,12,,0,0,0,17,1,5,,,
carpebo01,1947,2,CHN,NL,0,1,4,1,0,0,0,22,10,4,1,4,1,0.32,4.91,,1,0,0,35,2,5,,,
carysc01,1947,1,WS1,AL,3,1,23,3,1,0,0,164,73,36,5,20,25,0.31,5.93,,0,1,0,259,16,38,,,
caseyhu01,1947,1,BRO,NL,10,4,46,0,0,0,18,230,75,34,7,29,40,0.26,3.99,,0,2,1,325,37,36,,,
chanded01,1947,1,BRO,NL,0,1,15,1,0,0,1,89,31,21,7,12,8,0.26,6.37,,2,0,0,131,4,23,,,
chandsp01,1947,1,NYA,AL,9,5,17,16,13,2,0,384,100,35,4,41,68,0.21,2.46,,2,0,1,519,0,41,,,
chipmbo01,1947,1,CHN,NL,7,6,32,17,5,1,0,404,135,55,6,66,51,0.26,3.68,,1,0,0,581,4,58,,,
chrisru01,1947,1,PHA,AL,10,7,44,0,0,0,12,242,70,26,4,33,33,0.23,2.9,,1,0,0,333,38,30,,,
colemjo04,1947,1,PHA,AL,6,12,32,21,9,2,1,481,171,77,17,62,65,0.27,4.32,,0,0,0,689,9,84,,,
coopemo01,1947,1,BSN,NL,2,5,10,7,2,0,0,140,48,21,2,13,15,0.27,4.05,,0,2,0,198,1,26,,,
