Name,Tm,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/b/bechtge01.shtml"">G. Bechtel</a>",PH2,24,48,0,2,0,27,24,8,0,2,0,4.500,3.268,1.812,0.00,0.00
"<a href=""https://www.baseball-reference.com/players/b/brainas01.shtml"">Asa Brainard</a>",BL1,?,326,5,7,0,182,139,50,0,9,3,4.141,3.110,1.758,0.33,-1.21
"<a href=""https://www.baseball-reference.com/players/b/brittji01.shtml"">Jim Britt</a>",BR2,?,1442,17,36,0,696,519,218,6,41,16,4.082,3.280,1.533,0.39,0.02
"<a href=""https://www.baseball-reference.com/players/c/campbhu01.shtml"">H. Campbell</a>",ELI,?,495,2,16,0,251,213,54,6,8,7,2.945,3.430,1.570,0.88,0.18
"<a href=""https://www.baseball-reference.com/players/c/cummica01.shtml"">C. Cummings</a>",BL1,24,1146,28,14,0,475,292,119,4,33,34,2.804,3.158,1.330,1.03,7.79
"<a href=""https://www.baseball-reference.com/players/f/fergubo01.shtml"">Bob Ferguson</a>",BR2,28,58,0,1,0,41,30,12,2,2,0,5.586,4.384,2.224,0.00,-0.49
"<a href=""https://www.baseball-reference.com/players/f/fishech01.shtml"">C. Fisher</a>",PH1,28,253,3,4,2,90,73,17,1,10,14,1.814,3.112,1.186,1.40,1.26
"<a href=""https://www.baseball-reference.com/players/f/fleetfr01.shtml"">Frank Fleet</a>",ELI,?,72,0,3,0,57,47,14,0,0,1,5.250,2.865,2.375,&infin;,0.00
"<a href=""https://www.baseball-reference.com/players/f/forceda01.shtml"">Davy Force</a>",BL1,23,54,1,1,0,23,20,5,0,1,0,2.500,3.093,1.333,0.00,-0.04
"<a href=""https://www.baseball-reference.com/players/f/frencbi01.shtml"">Bill French</a>",BL4,?,27,0,1,0,30,27,12,0,0,0,12.000,2.932,3.333,&infin;,-0.37
"<a href=""https://www.baseball-reference.com/players/f/fulmech01.shtml"">Chick Fulmer</a>",PH2,22,15,0,0,0,7,4,2,0,1,0,3.600,3.553,1.600,0.00,0.09
"<a href=""https://www.baseball-reference.com/players/g/greys01.shtml"">John Greason</a>",WS5,21,189,1,6,0,113,90,41,3,10,5,5.857,3.824,1.952,0.50,-0.63
"<a href=""https://www.baseball-reference.com/players/l/lovetle01.shtml"">Len Lovett</a>",ELI,20,27,0,1,0,22,16,7,0,1,1,7.000,3.018,2.556,1.00,-0.19
"<a href=""https://www.baseball-reference.com/players/m/martiph01.shtml"">P. Martin</a>",NY2,27,102,0,1,0,50,37,13,0,6,1,3.441,3.376,1.647,0.17,0.09
"<a href=""https://www.baseball-reference.com/players/m/mathebo01.shtml"">B. Mathews</a>",NY2,21,1329,29,23,0,489,348,127,5,62,79,2.580,3.155,1.244,1.27,0.00
"<a href=""https://www.baseball-reference.com/players/m/mcbridi01.shtml"">Dick McBride</a>",PH1,26,1148,24,19,0,453,325,142,3,47,25,3.340,3.287,1.307,0.53,6.08
"<a href=""https://www.baseball-reference.com/players/m/mcdoo01.shtml""> McDoolan</a>",BL4,?,27,0,1,0,18,24,3,0,0,0,3.000,2.932,2.000,&infin;,-0.34
"<a href=""https://www.baseball-reference.com/players/m/mcmuljo01.shtml"">J. McMullin</a>",PH1,24,24,1,0,0,10,5,2,0,1,2,2.250,2.793,1.375,2.00,0.26
"<a href=""https://www.baseball-reference.com/players/s/selmafr01.shtml"">F. Sellman</a>",BL4,22,27,0,1,0,21,26,8,0,0,0,8.000,2.932,2.333,&infin;,-0.36
"<a href=""https://www.baseball-reference.com/players/s/spaldal01.shtml"">Al Spalding</a>",BS1,22,1490,41,14,3,643,413,165,5,36,50,2.990,3.084,1.367,1.39,7.89
"<a href=""https://www.baseball-reference.com/players/s/stearbi01.shtml"">Bill Stearns</a>",WS5,20,849,7,25,0,481,395,145,8,16,5,4.611,3.401,1.756,0.31,-2.33
"<a href=""https://www.baseball-reference.com/players/s/strated01.shtml"">Ed Stratton</a>",BL4,?,81,0,3,0,75,75,25,1,1,0,8.333,3.353,2.815,0.00,-1.06
"<a href=""https://www.baseball-reference.com/players/w/woltery01.shtml"">R. Wolters</a>",ELI,31,27,0,1,0,13,23,0,0,1,1,.000,3.012,1.556,1.00,-0.34
"<a href=""https://www.baseball-reference.com/players/w/wrighha01.shtml"">Harry Wright</a>",BS1,38,118,2,2,4,65,47,18,0,6,5,4.119,3.122,1.805,0.83,-0.27
"<a href=""https://www.baseball-reference.com/players/z/zettlge01.shtml"">G. Zettlein</a>",PH2,28,1380,36,15,0,594,368,146,3,41,29,2.857,3.167,1.380,0.71,8.45
